SK_Time,year,quarter,month,day_of_month,day_of_week
20161104,2016,4,11,4,Fri
20161105,2016,4,11,5,Sat
20161106,2016,4,11,6,Sun
20161107,2016,4,11,7,Mon
20161108,2016,4,11,8,Tue
20161109,2016,4,11,9,Wed
20161110,2016,4,11,10,Thu
20161111,2016,4,11,11,Fri
20161112,2016,4,11,12,Sat
20161113,2016,4,11,13,Sun
20161114,2016,4,11,14,Mon
20161115,2016,4,11,15,Tue
20161116,2016,4,11,16,Wed
20161118,2016,4,11,18,Fri
20161119,2016,4,11,19,Sat
20161120,2016,4,11,20,Sun
20161121,2016,4,11,21,Mon
20161122,2016,4,11,22,Tue
20161123,2016,4,11,23,Wed
20161124,2016,4,11,24,Thu
20161126,2016,4,11,26,Sat
20161127,2016,4,11,27,Sun
20161130,2016,4,11,30,Wed
20161201,2016,4,12,1,Thu
20161202,2016,4,12,2,Fri
20161203,2016,4,12,3,Sat
20161204,2016,4,12,4,Sun
20161205,2016,4,12,5,Mon
20161206,2016,4,12,6,Tue
20161207,2016,4,12,7,Wed
20161208,2016,4,12,8,Thu
20161209,2016,4,12,9,Fri
20161210,2016,4,12,10,Sat
20161211,2016,4,12,11,Sun
20161212,2016,4,12,12,Mon
20161213,2016,4,12,13,Tue
20161215,2016,4,12,15,Thu
20161216,2016,4,12,16,Fri
20161217,2016,4,12,17,Sat
20161218,2016,4,12,18,Sun
20161219,2016,4,12,19,Mon
20161220,2016,4,12,20,Tue
20161221,2016,4,12,21,Wed
20161222,2016,4,12,22,Thu
20161223,2016,4,12,23,Fri
20161224,2016,4,12,24,Sat
20161225,2016,4,12,25,Sun
20161226,2016,4,12,26,Mon
20161227,2016,4,12,27,Tue
20161228,2016,4,12,28,Wed
20161229,2016,4,12,29,Thu
20161230,2016,4,12,30,Fri
20170102,2017,1,1,2,Mon
20170103,2017,1,1,3,Tue
20170104,2017,1,1,4,Wed
20170105,2017,1,1,5,Thu
20170106,2017,1,1,6,Fri
20170107,2017,1,1,7,Sat
20170108,2017,1,1,8,Sun
20170109,2017,1,1,9,Mon
20170110,2017,1,1,10,Tue
20170111,2017,1,1,11,Wed
20170112,2017,1,1,12,Thu
20170114,2017,1,1,14,Sat
20170116,2017,1,1,16,Mon
20170117,2017,1,1,17,Tue
20170118,2017,1,1,18,Wed
20170119,2017,1,1,19,Thu
20170120,2017,1,1,20,Fri
20170121,2017,1,1,21,Sat
20170122,2017,1,1,22,Sun
20170123,2017,1,1,23,Mon
20170124,2017,1,1,24,Tue
20170125,2017,1,1,25,Wed
20170126,2017,1,1,26,Thu
20170127,2017,1,1,27,Fri
20170128,2017,1,1,28,Sat
20170129,2017,1,1,29,Sun
20170131,2017,1,1,31,Tue
20170201,2017,1,2,1,Wed
20170202,2017,1,2,2,Thu
20170203,2017,1,2,3,Fri
20170204,2017,1,2,4,Sat
20170205,2017,1,2,5,Sun
20170206,2017,1,2,6,Mon
20170207,2017,1,2,7,Tue
20170208,2017,1,2,8,Wed
20170209,2017,1,2,9,Thu
20170210,2017,1,2,10,Fri
20170211,2017,1,2,11,Sat
20170212,2017,1,2,12,Sun
20170213,2017,1,2,13,Mon
20170214,2017,1,2,14,Tue
20170215,2017,1,2,15,Wed
20170216,2017,1,2,16,Thu
20170218,2017,1,2,18,Sat
20170219,2017,1,2,19,Sun
20170220,2017,1,2,20,Mon
20170221,2017,1,2,21,Tue
20170225,2017,1,2,25,Sat
20170226,2017,1,2,26,Sun
20170227,2017,1,2,27,Mon
20170228,2017,1,2,28,Tue
20170301,2017,1,3,1,Wed
20170302,2017,1,3,2,Thu
20170303,2017,1,3,3,Fri
20170304,2017,1,3,4,Sat
20170305,2017,1,3,5,Sun
20170306,2017,1,3,6,Mon
20170307,2017,1,3,7,Tue
20170308,2017,1,3,8,Wed
20170309,2017,1,3,9,Thu
20170310,2017,1,3,10,Fri
20170311,2017,1,3,11,Sat
20170312,2017,1,3,12,Sun
20170313,2017,1,3,13,Mon
20170315,2017,1,3,15,Wed
20170316,2017,1,3,16,Thu
20170318,2017,1,3,18,Sat
20170319,2017,1,3,19,Sun
20170320,2017,1,3,20,Mon
20170322,2017,1,3,22,Wed
20170323,2017,1,3,23,Thu
20170324,2017,1,3,24,Fri
20170326,2017,1,3,26,Sun
20170327,2017,1,3,27,Mon
20170328,2017,1,3,28,Tue
20170329,2017,1,3,29,Wed
20170330,2017,1,3,30,Thu
20170331,2017,1,3,31,Fri
20170401,2017,2,4,1,Sat
20170402,2017,2,4,2,Sun
20170403,2017,2,4,3,Mon
20170404,2017,2,4,4,Tue
20170405,2017,2,4,5,Wed
20170406,2017,2,4,6,Thu
20170407,2017,2,4,7,Fri
20170408,2017,2,4,8,Sat
20170409,2017,2,4,9,Sun
20170410,2017,2,4,10,Mon
20170411,2017,2,4,11,Tue
20170412,2017,2,4,12,Wed
20170413,2017,2,4,13,Thu
20170414,2017,2,4,14,Fri
20170415,2017,2,4,15,Sat
20170416,2017,2,4,16,Sun
20170417,2017,2,4,17,Mon
20170418,2017,2,4,18,Tue
20170419,2017,2,4,19,Wed
20170420,2017,2,4,20,Thu
20170421,2017,2,4,21,Fri
20170422,2017,2,4,22,Sat
20170423,2017,2,4,23,Sun
